codeSp	GrSIH	codeSIH	ISSCAAP	TAXOCODE	codeFAO	codeFB	phylum	categ_bent	classe	ordre	Famille	Genre	espece	identifiant	taille_max	L50	cryptique	mobilite	territorialite	nocturne	comp_gr	agreg_saison	posi_col_eau	strat_demo	ponte	habitat_pref	chgmt_sexe	Trophique_2015	statutIUCN	coeffA	coeffB	niveau_taxo_ab
Caraunip	PO	-999	-999	NA	NA	12899	chordata	NA	Actinopterygii	Scorpaeniformes	Caracanthidae	Caracanthus	unipinna	Caracanthus_unipinna	5	-999	O	SE	NA	NO	NA	NA	B	2	NA	CO	NA	CA	NA	-999	-999	NA
Carcalbi	PO	-999	38	1080201019	ALS	858	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	albimarginatus	Carcharhinus_albimarginatus	300	-999	N	TM	NA	DN	NA	NA	D	6	NA	CO	NA	PI	NA	5,48E-05	4,2678	sp
Carcambl	PO	-999	38	1080201006	AML	861	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	amblyrhynchos	Carcharhinus_amblyrhynchos	255	-999	N	MO	NA	DN	NA	NA	D	6	NA	CO	NA	PI	NA	0,002266057	3,372658532	sp
Carccarc	PO	-999	38	1060800701	WSH	751	chordata	NA	Elasmobranchii	Lamniformes	Lamnidae	Carcharodon	carcharias	Carcharodon_carcharias	792	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	L	NA	CA	NA	-999	-999	NA
Carcfalc	PO	-999	38	1080201017	FAL	868	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	falciformis	Carcharhinus_falciformis	350	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	L	NA	PI	NA	0,0013	3,508	NA
Carcgala	PO	-999	38	1080201027	CCG	870	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	galapagensis	Carcharhinus_galapagensis	370	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	HM	NA	PI	NA	0,0013	3,508	NA
Carcgesp.	PO	-999	-999	NA	NA	-999	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	ge.	sp.	Carcharhinidae	-999	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	L	NA	PI	NA	-999	-999	NA
Carcleuc	PO	-999	38	1080201018	CCE	873	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	leucas	Carcharhinus_leucas	350	-999	N	TM	NA	DN	NA	NA	D	6	NA	C	NA	PI	NA	0,001298139	3,507762679	ge
Carclimb	PO	-999	38	1080201003	CCL	874	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	limbatus	Carcharhinus_limbatus	275	-999	N	TM	NA	DN	NA	NA	D	6	NA	NA	NA	PI	NA	0,00325301	3,283155769	sp
Carclong	PO	-999	38	1080201011	OCS	875	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	longimanus	Carcharhinus_longimanus	396	-999	NA	NA	NA	NA	NA	NA	D	-999	NA	L	NA	PI	NA	0,0013	3,508	NA
Carcmela	PO	-999	38	1080201005	BLR	877	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	melanopterus	Carcharhinus_melanopterus	200	-999	N	MO	NA	DN	NA	NA	D	6	NA	CO	NA	PI	NA	0,001298139	3,507762679	ge
Carcplum	PO	-999	38	1080201001	CCP	880	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	plumbeus	Carcharhinus_plumbeus	250	-999	N	TM	NA	DN	NA	NA	D	6	NA	HM	NA	PI	NA	0,001298139	3,507762679	ge
Carcsorr	PO	-999	38	1080201031	CCQ	884	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	sorrah	Carcharhinus_sorrah	160	-999	N	TM	NA	DN	NA	NA	D	6	NA	CO	NA	CA	NA	0,000717927	3,656360605	sp
Carcsp.	PO	-999	38	10802010XX	CWZ	200166	chordata	NA	Elasmobranchii	Carcharhiniformes	Carcharhinidae	Carcharhinus	sp.	Carcharhinus_sp.	-999	-999	NA	TM	NA	NO	NA	NA	NA	6	NA	NA	NA	PI	NA	0,001298139	3,507762679	ge
Carecare	AA	-999	72	5310701801	TTL	-999	chordata	NA	Reptilia	Testudines	Cheloniidae	Caretta	caretta	Caretta_caretta	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cariomat	MO	-999	-999	NA	NA	-999	mollusca	NA	Bivalvia	Ostreoida	Pectinidae	Caribachlamys	ornata	Caribachlamys_ornata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caririis	PA	-999	-999	NA	NA	-999	cnidaria	SC	Anthozoa	Alcyonacea	Clavulariidae	Carijoa	riiseri	Carijoa_riiseri	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Carisp.	PA	-999	-999	NA	NA	-999	cnidaria	SC	Anthozoa	Alcyonacea	Xeniidae	Carijoa	sp.	Carijoa_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Carpconv	CR	-999	-999	NA	NA	-999	arthropoda	NA	Malacostraca	Decapoda	Xanthidae	Carpilius	convexus	Carpilius_convexus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Carpcora	CR	-999	42	2311000201	KPC	-999	arthropoda	NA	Malacostraca	Decapoda	Xanthidae	Carpilius	corallinus	Carpilius_corallinus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Carpmacu	CR	-999	-999	NA	NA	-999	arthropoda	NA	Malacostraca	Decapoda	Xanthidae	Carpilius	maculatus	Carpilius_maculatus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cassiflam	MO	-999	52	3071100302	KSF	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Cassidae	Cassis	flammea	Cassis_flammea	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cassimada	MO	-999	52	3071100303	KSD	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Cassidae	Cassis	madagascariensis	Cassis_madagascariensis	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cassitube	MO	-999	52	3071100304	KST	-999	mollusca	NA	Gastropoda	Hypsogastropoda	Cassidae	Cassis	tuberosa	Cassis_tuberosa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cassrufa	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Littorinimorpha	Cassidae	Cassis	rufa	Cassis_rufa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cassxama	PA	-999	-999	NA	NA	-999	cnidaria	OT	NA	Rhizostomeae	Cassiopeidae	Cassiopea	xamanacha	Cassiopea_xamanacha	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Catajard	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Caryophylliidae	Catalaphyllia	jardinei	Catalaphyllia_jardinei	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulcupr	VE	-999	93	7410500102	KQC	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	cupressoides	Caulerpa_cupressoides	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulcurv	PA	-999	-999	NA	NA	-999	cnidaria	CS	Anthozoa	Scleractinia	Faviidae	Caulastrea	curvata	Caulastrea_curvata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulechi	PA	-999	-999	NA	NA	-999	cnidaria	CS	Anthozoa	Scleractinia	Faviidae	Caulastrea	echinulata	Caulastrea_echinulata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulfurc	PA	-999	-999	NA	NA	-999	cnidaria	CS	Anthozoa	Scleractinia	Faviidae	Caulastrea	furcata	Caulastrea_furcata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulmexi	VE	-999	-999	NA	NA	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	mexicana	Caulerpa_mexicana	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulprol	VE	-999	93	7410500108	KQP	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	prolifera	Caulerpa_prolifera	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulrace	VE	-999	93	7410500104	KQR	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	racemosa	Caulerpa_racemosa	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulsert	VE	-999	93	7410500106	KQT	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	sertularioides	Caulerpa_sertularioides	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulsp.	PA	-999	-999	NA	NA	-999	cnidaria	CE	Anthozoa	Scleractinia	Faviidae	Caulastrea	sp.	Caulastrea_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caultaxi	VE	-999	93	7410500107	KQX	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	taxifolia	Caulerpa_taxifolia	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caultumi	PA	-999	-999	NA	NA	-999	cnidaria	CS	Anthozoa	Scleractinia	Faviidae	Caulastrea	tumida	Caulastrea_tumida	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Caulvert	VE	-999	-999	NA	NA	-999	plantae	NA	Bryopsidophyceae	Bryopsidales	Caulerpaceae	Caulerpa	verticillata	Caulerpa_verticillata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cencmuri	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Caenogastropoda	Littorinidae	Cenchristis	muricata	Cenchristis_muricata	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centacan	PO	-999	33	1706600201	ENN	9222	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	acanthops	Centropyge_acanthops	8	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	0,0745	2,577	NA
Centargi	PO	-999	-999	NA	NA	3607	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	argi	Centropyge_argi	8	-999	N	NA	NA	DI	NA	NA	NA	-999	NA	NA	NA	HE	NA	0,0601	2,692	NA
Centbico	PO	-999	-999	NA	NA	5454	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	bicolor	Centropyge_bicolor	15	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Centbisp	PO	-999	-999	NA	NA	5458	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	bispinosa	Centropyge_bispinosa	10	-999	O	SE	NA	DI	NA	NA	B	2	NA	CO	NA	HE	NA	0,091949687	2,45798686	sp
Centcrep	PO	-999	-999	NA	NA	-999	chordata	NA	Elasmobranchii	Squaliformes	Squalidae	Centroselachus	crepidater	Centroselachus_crepidater	130	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centdebe	PO	-999	-999	NA	NA	25424	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	debelius	Centropyge_debelius	9	-999	N	NA	NA	DI	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centensi	PO	-999	33	1700102503	EPN	1013	chordata	NA	Actinopterygii	Perciformes	Centropomidae	Centropomus	ensiferus	Centropomus_ensiferus	36	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centflav	PO	-999	-999	NA	NA	5664	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	flavicauda	Centropyge_flavicauda	8	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Centflavi	PO	-999	-999	NA	NA	5457	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	flavissima	Centropyge_flavissima	14	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Centgesp.	PO	3334	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Centropomidae	ge.	sp.	Centropomidae	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centhera	PO	-999	-999	NA	NA	5665	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	heraldi	Centropyge_heraldi	10	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Centlori	PO	-999	-999	NA	NA	7814	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	loricula	Centropyge_loricula	15	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Centmult	PO	-999	33	1706600203	ENZ	6549	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	multispinis	Centropyge_multispinis	14	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	0,0745	2,577	NA
Centrufu	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Serranidae	Centropristis	rufus	Centropristis_rufus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centsp.	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	sp.	Centropyge_sp.	-999	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	HE	NA	-999	-999	NA
Centtibi	PO	-999	-999	NA	NA	6548	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	tibicen	Centropyge_tibicen	19	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,049230696	2,79451381	sp
Centunde	PO	-999	33	1700102510	SNO	345	chordata	NA	Actinopterygii	Perciformes	Centropomidae	Centropomus	undecimalis	Centropomus_undecimalis	140	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Centvrol	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Centropyge	vrolikii	Centropyge_vrolikii	12	-999	O	SE	NA	DI	NA	NA	B	2	NA	NA	NA	HE	NA	0,074481017	2,576934376	ge
Ceph	PO	-999	-999	NA	NA	6452	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	polleni	Cephalopholis_polleni	43	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	PI	NA	0,0115	3,109	NA
Cephargu	PO	-999	33	1700211504	CFF	6396	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	argus	Cephalopholis_argus	60	-999	N	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,009292998	3,180742513	sp
Cephaura	PO	-999	33	1700211515	CFZ	6443	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	aurantia	Cephalopholis_aurantia	60	-999	O	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,011457146	3,109346384	ge
Cephboen	PO	-999	33	1700211519	CVK	6444	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	boenak	Cephalopholis_boenak	30	-999	O	SE	NA	DN	NA	NA	B	4	NA	CO	NA	PI	NA	0,014620408	3,019150471	sp
Cephcrue	PO	-999	33	1700211501	CFL	12	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	cruentata	Cephalopholis_cruentata	43	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	PI	NA	0,0121	3,082	NA
Cephfulv	PO	-999	33	1700211502	CFJ	8816	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	fulva	Cephalopholis_fulva	41	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	PI	NA	0,0174	3	NA
Cephleop	PO	-999	-999	NA	NA	6448	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	leopardus	Cephalopholis_leopardus	24	-999	O	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,011457146	3,109346384	ge
Cephmicr	PO	-999	33	1700211510	CFM	6449	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	microprion	Cephalopholis_microprion	25	-999	O	SE	NA	DN	NA	NA	B	5	NA	NA	NA	PI	NA	0,011457146	3,109346384	ge
Cephmini	PO	-999	33	1700211511	CFI	6450	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	miniata	Cephalopholis_miniata	45	-999	N	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,010655775	3,114100648	sp
Cephsexm	PO	-999	33	1700211514	CFX	6453	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	sexmaculata	Cephalopholis_sexmaculata	50	-999	N	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,011457146	3,109346384	ge
Cephsonn	PO	-999	33	1700211505	EFT	6454	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	sonnerati	Cephalopholis_sonnerati	57	-999	N	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,006609343	3,27655071	sp
Cephsp.							chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	sp.	Cephalopholis_sp.																		
Cephsp1	MO	-999	-999	NA	NA	-999	mollusca	NA	Cephalopoda	NA	fa.	ge.	sp.	C?phalopodes	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cephspil	PO	-999	33	1700211517	CWR	6455	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	spiloparaea	Cephalopholis_spiloparaea	30	-999	O	SE	NA	DN	NA	NA	B	5	NA	CO	NA	PI	NA	0,011457146	3,109346384	ge
Cephurod	PO	-999	33	1700211518	CWU	6456	chordata	NA	Actinopterygii	Perciformes	Serranidae	Cephalopholis	urodeta	Cephalopholis_urodeta	28	-999	O	SE	NA	DN	NA	NA	B	4	NA	CO	NA	PI	NA	0,028222858	2,817750702	sp
Cerasp.	VE	-999	-999	NA	NA	-999	plantae	NA	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	sp.	Ceramium_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cerawarm	PO	-999	-999	NA	NA	6981	chordata	NA	Actinopterygii	Myctophiformes	Myctophidae	Ceratoscopelus	warmingii	Ceratoscopelus_warmingii	8	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Ceriebur	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Sorbeoconcha	Cerithiidae	Cerithium	eburneum	Cerithium_eburneum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cerilitt	MO	-999	-999	NA	NA	-999	mollusca	NA	Gastropoda	Sorbeoconcha	Cerithiidae	Cerithium	litteratum	Cerithium_litteratum	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Ceteeden	PO	-999	35	1210601501	AVA	547	chordata	NA	Actinopterygii	Clupeiformes	Engraulidae	Cetengraulis	edentulus	Cetengraulis_edentulus	17	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cetobico	NA	-999	-999	NA	NA	-999		NA	NA	NA	Scaridae	Cetoscarus	bicolor	Cetoscarus_bicolor	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Cetoocel	PO	-999	33	1706543601	USR	5538	chordata	NA	Actinopterygii	Perciformes	Scaridae	Cetoscarus	ocellatus	Cetoscarus_ocellatus	90	-999	N	MO	NA	DI	NA	NA	B	5	NA	CO	NA	HE	NA	0,022236967	2,970682336	fa
Cetosp.	NA	-999	-999	NA	NA	-999		NA	NA	NA	Scaridae	Cetoscarus	sp.	Cetoscarus_sp.	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Chaeaure	PO	-999	33	1705211610	HTE	6513	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	aureofasciatus	Chaetodon_aureofasciatus	12	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Chaeauri	PO	-999	-999	NA	NA	5557	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	auriga	Chaetodon_auriga	23	-999	N	SE	NA	DI	NA	NA	B	4	NA	CO	NA	CA	NA	0,040397085	2,829430605	sp
Chaebaro	PO	-999	-999	NA	NA	5558	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	baronessa	Chaetodon_baronessa	16	-999	N	SE	NA	DI	NA	NA	B	4	NA	NA	NA	CA	NA	0,045008109	2,814158595	ge
Chaebenn	PO	-999	-999	NA	NA	5559	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	bennetti	Chaetodon_bennetti	20	-999	N	SE	NA	DI	NA	NA	B	4	NA	CO	NA	CA	NA	0,038394963	2,885078662	sp
Chaeblac	PO	-999	-999	NA	NA	8015	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	blackburnii	Chaetodon_blackburnii	13	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,04	2,8	NA
Chaecapi	PO	-999	33	1705211601	HTP	3602	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	capistratus	Chaetodon_capistratus	8	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	CA	NA	0,0147	3,4301	NA
Chaecitr	PO	-999	-999	NA	NA	5561	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	citrinellus	Chaetodon_citrinellus	13	-999	N	SE	NA	DI	NA	NA	B	2	NA	NA	NA	CA	NA	0,035298745	2,834137756	sp
Chaecons	PO	-999	-999	NA	NA	10819	chordata	NA	Actinopterygii	Perciformes	Pomacanthidae	Chaetodontoplus	conspicillatus	Chaetodontoplus_conspicillatus	34	-999	O	SE	NA	DI	NA	NA	B	4	NA	NA	NA	CA	NA	0,058435152	2,718277699	fa
Chaedolo	PO	-999	-999	NA	NA	8916	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	dolosus	Chaetodon_dolosus	15	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Chaeephi	PO	-999	-999	NA	NA	5562	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	ephippium	Chaetodon_ephippium	30	-999	N	SE	NA	DI	NA	NA	B	4	NA	NA	NA	CA	NA	0,022485473	3,060921521	sp
Chaefabe	PO	-999	33	1740526701	HRF	1024	chordata	NA	Actinopterygii	Perciformes	Ephippidae	Chaetodipterus	faber	Chaetodipterus_faber	91	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	2,6836	NA
Chaefalc	PO	-999	-999	NA	NA	8014	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	falcula	Chaetodon_falcula	20	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,045	2,814	NA
Chaefasc	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	fasciatus	Chaetodon_fasciatus	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Chaeflav	PO	-999	-999	NA	NA	6527	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	flavirostris	Chaetodon_flavirostris	20	-999	N	SE	NA	DI	NA	NA	B	4	NA	NA	NA	CA	NA	0,02509663	3,113247491	sp
Chaegesp.	PO	3939	33	17052XXXXX	BUS	-999	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	ge.	sp.	Chaetodontidae	-999	-999	NA	NA	NA	NA	NA	NA	NA	-999	NA	NA	NA	NA	NA	-999	-999	NA
Chaeguen	PO	-999	-999	NA	NA	6528	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	guentheri	Chaetodon_guentheri	18	-999	N	SE	NA	DI	NA	NA	B	4	NA	NA	NA	PL	NA	0,045008109	2,814158595	ge
Chaegutt	PO	-999	-999	NA	NA	7791	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	guttatissimus	Chaetodon_guttatissimus	12	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,045	2,814	NA
Chaeinte	PO	-999	-999	NA	NA	-999	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	interruptus	Chaetodon_interruptus	20	-999	NA	NA	NA	NA	NA	NA	B	-999	NA	CO	NA	CA	NA	0,0533	2,833	NA
Chaeklei	PO	-999	-999	NA	NA	5446	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	kleinii	Chaetodon_kleinii	15	-999	N	SE	NA	DI	NA	NA	B	2	NA	CO	NA	PL	NA	0,045008109	2,814158595	ge
Chaeline	PO	-999	-999	NA	NA	5564	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	lineolatus	Chaetodon_lineolatus	30	-999	N	SE	NA	DI	NA	NA	B	4	NA	CO	NA	CA	NA	0,069264822	2,621506842	sp
Chaelunu	PO	-999	-999	NA	NA	5565	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	lunula	Chaetodon_lunula	20	-999	N	SE	NA	DI	NA	NA	B	4	NA	CO	NA	CA	NA	0,045008109	2,814158595	ge
Chaelunul	PO	-999	-999	NA	NA	14300	chordata	NA	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	lunulatus	Chaetodon_lunulatus	14	-999	N	SE	NA	DI	NA	NA	B	4	NA	NA	NA	CA	NA	0,031101049	2,975659108	sp
